label,flattened_images
angry,[72 72 72 ... 82 82 82]
angry,[152 152 152 ... 183 183 183]
angry,[ 29  29  29 ... 174 174 174]
angry,[32 32 32 ... 63 63 63]
angry,[222 222 222 ...  41  41  41]
angry,[238 238 238 ... 110 110 110]
angry,[ 35  35  35 ... 134 134 134]
angry,[120 120 120 ...  42  42  42]
angry,[255 255 255 ... 233 233 233]
angry,[ 73  73  73 ... 253 253 253]
angry,[ 30  30  30 ... 216 216 216]
angry,[70 70 70 ... 18 18 18]
angry,[231 231 231 ... 224 224 224]
angry,[93 93 93 ... 42 42 42]
angry,[64 64 64 ... 97 97 97]
angry,[253 253 253 ... 149 149 149]
angry,[251 251 251 ... 251 251 251]
angry,[16 16 16 ...  0  0  0]
angry,[218 218 218 ...   9   9   9]
angry,[0 0 0 ... 2 2 2]
angry,[143 143 143 ... 161 161 161]
angry,[90 90 90 ... 23 23 23]
angry,[41 41 41 ... 88 88 88]
angry,[86 86 86 ... 82 82 82]
angry,[ 81  81  81 ... 138 138 138]
angry,[74 74 74 ... 10 10 10]
angry,[ 2  2  2 ... 47 47 47]
angry,[108 108 108 ...  64  64  64]
angry,[255 255 255 ...  52  52  52]
angry,[176 176 176 ... 171 171 171]
angry,[255 255 255 ... 225 225 225]
angry,[156 156 156 ... 201 201 201]
angry,[129 129 129 ... 151 151 151]
angry,[ 55  55  55 ... 191 191 191]
angry,[ 34  34  34 ... 125 125 125]
angry,[88 88 88 ... 75 75 75]
angry,[106 106 106 ... 220 220 220]
angry,[254 254 254 ... 135 135 135]
angry,[42 42 42 ...  6  6  6]
angry,[0 0 0 ... 0 0 0]
angry,[0 0 0 ... 0 0 0]
angry,[119 119 119 ...  34  34  34]
angry,[197 197 197 ...  13  13  13]
angry,[124 124 124 ...  58  58  58]
angry,[43 43 43 ... 22 22 22]
angry,[255 255 255 ... 216 216 216]
angry,[ 28  28  28 ... 123 123 123]
angry,[186 186 186 ...  13  13  13]
angry,[99 99 99 ... 55 55 55]
angry,[ 74  74  74 ... 183 183 183]
angry,[156 156 156 ... 185 185 185]
angry,[18 18 18 ... 71 71 71]
angry,[119 119 119 ...  45  45  45]
angry,[139 139 139 ...  28  28  28]
angry,[255 255 255 ...  61  61  61]
angry,[255 255 255 ...  59  59  59]
angry,[234 234 234 ... 160 160 160]
angry,[202 202 202 ...  10  10  10]
angry,[ 2  2  2 ... 15 15 15]
angry,[38 38 38 ...  0  0  0]
angry,[15 15 15 ... 32 32 32]
angry,[99 99 99 ... 19 19 19]
angry,[160 160 160 ...  76  76  76]
angry,[11 11 11 ... 10 10 10]
angry,[196 196 196 ... 197 197 197]
angry,[108 108 108 ... 158 158 158]
angry,[106 106 106 ... 207 207 207]
angry,[252 252 252 ... 119 119 119]
angry,[25 25 25 ... 58 58 58]
angry,[34 34 34 ... 24 24 24]
angry,[255 255 255 ... 249 249 249]
angry,[127 127 127 ... 251 251 251]
angry,[250 250 250 ... 255 255 255]
angry,[210 210 210 ... 194 194 194]
angry,[ 72  72  72 ... 128 128 128]
angry,[228 228 228 ...  22  22  22]
angry,[41 41 41 ... 81 81 81]
angry,[227 227 227 ... 144 144 144]
angry,[  2   2   2 ... 214 214 214]
angry,[ 57  57  57 ... 255 255 255]
angry,[79 79 79 ... 49 49 49]
angry,[121 121 121 ... 168 168 168]
angry,[191 191 191 ...  25  25  25]
angry,[134 134 134 ... 114 114 114]
angry,[72 72 72 ...  8  8  8]
angry,[254 254 254 ... 174 174 174]
angry,[143 143 143 ...  78  78  78]
angry,[ 17  17  17 ... 254 254 254]
angry,[ 71  71  71 ... 188 188 188]
angry,[96 96 96 ...  0  0  0]
angry,[179 179 179 ...  24  24  24]
angry,[202 202 202 ...  95  95  95]
